college id,name,autonomous,constructed_area,evening,girl_exclusive,is_foreign_students_enrolled,no_of_student_hostel,offers_loan,offers_scholarship,staff_quarter_available,student_hostel_available,year_of_establishment,auditorium,cafeteria,common_room,computer_center,conference_hall,connectivity_nkn,connectivity_nmeict,guest_house,gymnasium_fitness_center,health_center,indoor_stadium,laboratory,library,no_of_auditoriums,no_of_cafeteria,no_of_common_rooms,no_of_computer_centers,no_of_conference_halls,no_of_guest_houses,no_of_gymnasim_fitness_centers,no_of_health_centers,no_of_indoor_stadiums,no_of_laboratories,no_of_libraries,no_of_playgrounds,no_of_separate_rooms_for_girls,no_of_theatres,playground,separate_room_for_girls,solar_power_generation,theatre,score
11915, Parameswar Mahavidyalaya ,false,2400,false,false,false,2,false,false,true,true,2007,true,false,true,true,true,false,false,true,false,false,true,true,true,1,0,2,1,1,1,0,0,1,3,1,1,1,0,true,true,false,false,1.69
21243, Maharani Lakshmi Ammani  Womens College  18th Cross  Malleshwaram  Bangalore 12 ,false,74000,false,true,false,2,true,true,false,true,1972,true,true,true,true,true,true,true,true,true,true,false,true,true,1,1,1,1,1,1,1,1,0,1,1,1,1,0,true,true,false,false,3.09
39571, Olaver College Olaver  Kendrapara ,false,2.2,false,false,false,2,false,true,false,true,1974,false,true,true,true,false,false,false,false,false,false,false,false,true,0,1,3,1,0,0,0,0,0,0,1,1,1,0,true,true,false,false,7.75
14387, Dr. Sivanthi Aditanar college of Education ,false,9636,false,false,false,2,false,true,true,true,1995,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,0,true,true,false,false,2.49
14514, Seventh Day Adventist Reform Movement (SRM) College of Education ,false,2258.61,false,false,false,0,false,true,false,false,2005,false,true,true,true,true,false,false,true,false,false,true,true,true,0,1,1,1,1,1,0,0,1,1,1,1,1,0,true,true,false,false,2.37
1151, NS Patel Arts College  Anand ,false,3215.02,false,false,false,1,false,false,true,true,1970,true,true,true,true,true,false,true,true,true,true,false,false,true,1,1,1,1,1,1,1,1,0,0,1,1,1,0,true,true,false,false,2.77
10992, Shikshanshastra Mahavidyalaya   VITA ,false,1710,false,false,false,1,false,true,false,true,1990,false,false,true,true,true,false,false,false,false,false,false,true,true,0,0,1,1,1,0,0,0,0,1,1,1,1,0,true,true,false,false,7.15
14894, J.J. College of Education ,false,4830.9,false,false,false,2,false,true,false,true,2006,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,true,false,true,2.43
16491, Sree Sastha Institute of Engineering and Technology ,false,76465,false,false,false,2,false,true,false,true,1999,true,true,true,true,true,true,true,true,true,true,true,true,true,2,1,3,3,1,1,1,1,1,9,1,1,2,1,true,true,true,true,2.48
7531, D. S. M.'s  Arts Commerce & Science College  Jintur Road  Parbhani ,false,10300.33,false,false,false,1,false,true,false,true,1984,true,true,true,true,true,true,false,false,true,true,true,true,true,1,1,2,1,1,0,1,1,1,9,1,4,1,0,true,true,true,false,3.11
14383, M.E.T. College of Education ,false,51850,false,false,false,2,true,true,false,true,2006,true,false,true,true,true,false,false,false,false,false,false,true,true,1,0,1,1,1,0,0,0,0,1,1,1,1,0,true,true,false,false,2.62
6990, Government First Grade College  Sira ,false,1789,false,false,false,4,true,true,false,true,1968,true,false,true,false,true,false,true,false,false,false,false,true,true,1,0,1,0,1,0,0,0,0,1,1,1,1,1,true,true,false,true,2.2
28204, S.J.K.College  Kalanaur (Rohtak.) ,false,30356.19,false,false,false,0,false,true,true,false,1971,true,true,true,false,false,false,false,false,true,true,false,true,true,1,1,1,0,0,0,1,1,0,5,1,1,1,0,true,true,false,false,0
24772, N.B.K.R Science & Arts College  Vidyanagar ,false,2917.66,false,false,false,2,false,true,true,true,1965,true,true,true,true,true,false,false,true,true,true,false,true,true,1,1,1,1,1,1,1,1,0,1,1,1,1,1,true,true,false,true,8.2
44412, GIRIDIH COLLEGE  GIRIDIH ,false,8596.65,false,false,false,3,false,true,false,true,1955,false,true,false,true,true,false,false,false,false,false,false,true,true,0,1,0,1,1,0,0,0,0,8,1,3,0,0,true,false,false,false,6
34393, Shrisrishna Shikshan Sanstha's Shrikrishna Mahavidyalaya  Gunjoti  ,false,3208,false,false,false,2,false,true,false,true,1991,false,true,true,true,true,false,false,false,true,false,false,true,true,0,1,1,1,1,0,1,0,0,1,1,1,1,0,true,true,false,false,0
20643, Govt. Science College  Nrupathunga Road  Bangalore-1 ,false,62888,false,false,false,0,true,true,false,false,1971,true,true,true,true,true,false,false,false,true,true,false,true,true,1,1,1,1,1,0,1,1,0,9,1,1,1,1,true,true,false,true,3.11
18335, Manoharbhai Patel Arts Commerce  Deori ,false,4000,false,false,false,0,false,true,false,false,1990,false,false,false,true,false,false,false,false,false,false,false,true,true,0,0,0,1,0,0,0,0,0,1,1,1,1,0,true,true,false,false,6
45354, ANANDA CHANDRA COLLEGE  JALPAIGURI ,false,6000,false,false,false,2,false,true,true,true,1942,false,true,true,true,false,false,false,false,true,false,true,true,true,0,1,1,1,0,0,1,0,1,9,1,1,1,0,true,true,false,false,8.15
